wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000,0,1,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2000,40,319216,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2000,80,2287,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2000,90,5306,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2000,30,363316,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2000,255,7335567,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,-1
191,2010,0,6,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2010,40,315593,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2010,80,2240,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2010,90,7103,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2010,30,365111,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2010,255,7335640,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,90-30,4279,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,255-90,90,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,30-90,6010,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,90-255,19,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
191,2000-2010,30-30,352275,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S16_00_2000LC030\S16_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S16_00_2010LC030\S16_00_2010LC030.tif
