oid, id, partcount, pointcount
900,22712873.0,2,77
901,3816.0,2,79
902,3816.0,2,1102
903,61564.0,1,2019
904,61564.0,4,2145
905,78777599.0,2,6784
906,60143.0,2,3152
907,14145.0,4,851
908,16440965.0,23,122399
909,22702000.0,4,1230
910,22702000.0,2,97
911,22721387.0,2,241
912,80218429.0,2,6784
913,103801509.0,14,12975
914,103672434.0,3,517
915,57391.0,1,48
916,22696734.0,42,1580
917,22696734.0,122,5192
918,22696734.0,19,1694
919,22696734.0,3,73
920,103817273.0,2,3622
921,20218.0,2,1378
922,177507.0,1,1607
923,177507.0,3,549
924,159049.0,1,1140
925,136559.0,2,1578
926,136559.0,1,1957
927,170538.0,2,285
928,78772698.0,3,16165
929,19242.0,6,136
930,156754.0,1,422
931,103845702.0,846,35423
932,103845702.0,80,44018
933,103845702.0,468,29003
934,42678.0,2,8409
935,183218.0,3,23514
936,134904.0,153,15806
937,61437.0,2,384
938,58933319.0,1,562
939,161682.0,7,8092
940,12568.0,1,649
941,69739591.0,14,52509
942,60112.0,2,13797
943,61769.0,1,361
944,22844.0,2,72
945,22685119.0,242,11762
946,185954.0,5,94122
947,49254459.0,3,530
948,80351121.0,2,707
949,80351121.0,4,18851
950,80351121.0,1,106
951,136673.0,1,26
952,181679.0,2,2721
953,181679.0,15,4440
954,22705425.0,21,386
955,189019.0,400,14289
956,11481.0,800,40289
957,11481.0,800,40289
958,3564.0,1,1021
959,22713729.0,70,5175
960,59343.0,1,44
961,38871.0,1,4311
962,180886.0,1,2014
963,180886.0,1,974
964,180886.0,1,310
965,16506931.0,48,350250
966,194809.0,23,10839
967,57453743.0,484,34607
968,16672.0,1,3743
969,16672.0,1,15
970,16672.0,2,57946
971,59258.0,1,1289
972,22693959.0,2,378
973,22693959.0,32,5566
974,22693959.0,40,1841
975,22693959.0,3,5048
976,63247.0,1,1223
977,154916.0,7,181737
978,190279.0,63,780129
979,59834.0,9,16281
980,59834.0,6,10670
981,59834.0,30,40442
982,181663.0,4,2589
983,181663.0,2,2156
984,189345.0,81,13086
985,11146.0,9,112506
986,22691341.0,2,936
987,22691341.0,82,21077
988,15046.0,3,727
989,156055.0,1,512
990,198033.0,1,303
991,134274.0,1,590
992,176701.0,1,2226
993,22722397.0,3,3060
994,103684164.0,2,98
995,164464.0,1597,122310
996,164464.0,315,28439
997,164464.0,4,336
998,22736148.0,189,13276
999,22736148.0,172,10567
1000,22736148.0,144,13453
1001,63210.0,3,13334
1002,63210.0,6,3360
1003,63210.0,3,965
1004,164333.0,21,2117
1005,22730401.0,2,1492
1006,59178.0,4,747
1007,183000.0,1,1787
1008,45091.0,1,201
1009,183707.0,5,41355
1010,22702156.0,3,250
1011,169607.0,1,1233
1012,22703191.0,10,1340
1013,157149.0,105,16081
1014,44579710.0,1,45
1015,44579710.0,1,45
1016,56599.0,1,4965
1017,57755.0,1,361
1018,48342273.0,1,1555
1019,22683670.0,1,1725
1020,22683670.0,4,5604
1021,170079.0,1,4756
1022,64400.0,26,67364
1023,59797.0,12,8613
1024,59797.0,5,972
1025,59797.0,5,24663
1026,61258.0,2,2979
1027,157290.0,2,16
1028,22712246.0,121,9250
1029,19711761.0,1,3915
1030,187547.0,52,211287
1031,197785.0,2,412
1032,153884.0,1,2288
1033,192576.0,3,22881
1034,42572.0,2,5445
1035,198826.0,3,448
1036,178914.0,3,1408
1037,198068.0,256,83133
1038,198068.0,41,24149
1039,164631.0,1,219
1040,163707.0,2,8061
1041,90979519.0,2,946
1042,90979519.0,2,346
1043,182136.0,52,70441
1044,182136.0,6,19389
1045,182136.0,55,64526
1046,103764950.0,1,96
1047,103764950.0,301,96190
1048,103764950.0,2,555
1049,103764950.0,1428,100723
1050,103764950.0,180,7212
1051,103764950.0,698,19087
1052,21792.0,1,68
1053,177308.0,35,19680
1054,177308.0,29,12704
1055,177308.0,15,2361
1056,133376.0,60,247023
1057,167192.0,8,2830
1058,155623.0,782,71863
1059,54855.0,1,20
1060,59055.0,1,361
1061,182207.0,2,12797
1062,182207.0,4,2717
1063,15339.0,1,2148
1064,20431518.0,148,762534
1065,22705327.0,144,10165
1066,49830279.0,4,1904
1067,49830279.0,7,4320
1068,57707.0,1,361
1069,22699963.0,1,1080
1070,22699963.0,321,33784
1071,34739.0,2,1263
1072,22680472.0,1,926
1073,22680472.0,393,18990
1074,22680472.0,782,49049
1075,22680472.0,777,39659
1076,22717013.0,340,12076
1077,195603.0,1,22
1078,177272.0,5,3381
1079,22715034.0,3,1354
1080,60471860.0,23,127199
1081,84500383.0,4,648
1082,37419.0,1,227
1083,37419.0,2,129
1084,57957.0,4,986
1085,21146.0,1,10
1086,75607284.0,1,642
1087,22734747.0,200,99147
1088,22734747.0,529,34746
1089,22734747.0,28,27323
1090,190166.0,11,20033
1091,22701726.0,3,9177
1092,66083921.0,1,341
1093,66083921.0,1,341
1094,103693348.0,5,67
1095,22679655.0,1,244
1096,183537.0,1,14880
1097,103881097.0,3,4413
1098,59238.0,2,722
1099,22693130.0,73,63413
1100,88502425.0,1,196
1101,88502425.0,1,216
1102,136446.0,5,339
1103,136446.0,1,363
1104,136446.0,1,58
1105,136446.0,1,577
1106,136446.0,1,3939
1107,21110692.0,3,4665
1108,57146.0,4,7165
1109,22682577.0,141,6727
1110,22705903.0,3,392
1111,103691602.0,41,5670
1112,10753.0,1,2099
1113,10753.0,1,300
1114,10988.0,1,643
1115,134993.0,2,1373
1116,181034.0,1,690
